Exchange Date,Close
14-Jul-04,13.76
15-Jul-04,14.71
16-Jul-04,14.34
19-Jul-04,15.17
20-Jul-04,14.17
21-Jul-04,16.41
22-Jul-04,15.75
23-Jul-04,16.5
26-Jul-04,17.3
27-Jul-04,16.55
28-Jul-04,16.15
29-Jul-04,15.68
30-Jul-04,15.32
02-Aug-04,15.37
03-Aug-04,16.03
04-Aug-04,16.21
05-Aug-04,18.32
06-Aug-04,19.34
09-Aug-04,18.89
10-Aug-04,17.47
11-Aug-04,18.04
12-Aug-04,19.08
13-Aug-04,17.98
16-Aug-04,17.57
17-Aug-04,17.02
18-Aug-04,16.23
19-Aug-04,16.96
20-Aug-04,16
23-Aug-04,15.88
24-Aug-04,15.33
25-Aug-04,14.98
26-Aug-04,14.91
27-Aug-04,14.71
30-Aug-04,15.44
31-Aug-04,15.29
01-Sep-04,14.91
02-Sep-04,14.28
03-Sep-04,13.91
07-Sep-04,14.07
08-Sep-04,14.06
09-Sep-04,14.01
10-Sep-04,14.01
13-Sep-04,13.17
14-Sep-04,13.56
15-Sep-04,14.64
16-Sep-04,14.39
17-Sep-04,14.03
20-Sep-04,14.43
21-Sep-04,13.66
22-Sep-04,14.74
23-Sep-04,14.8
24-Sep-04,14.28
27-Sep-04,14.62
28-Sep-04,13.83
29-Sep-04,13.21
30-Sep-04,13.34
01-Oct-04,12.75
04-Oct-04,13.41
05-Oct-04,13.95
06-Oct-04,13.28
07-Oct-04,14.5
08-Oct-04,15.05
11-Oct-04,14.71
12-Oct-04,15.05
13-Oct-04,15.42
14-Oct-04,16.43
15-Oct-04,15.04
18-Oct-04,14.71
19-Oct-04,15.13
20-Oct-04,14.85
21-Oct-04,14.54
22-Oct-04,15.28
25-Oct-04,16.58
26-Oct-04,16.39
27-Oct-04,15.72
28-Oct-04,15.39
29-Oct-04,16.27
01-Nov-04,16.27
02-Nov-04,16.18
03-Nov-04,14.04
04-Nov-04,13.97
05-Nov-04,13.84
08-Nov-04,13.8
09-Nov-04,13.61
10-Nov-04,13.08
11-Nov-04,13.04
12-Nov-04,13.33
15-Nov-04,13.38
16-Nov-04,13.21
17-Nov-04,13.21
18-Nov-04,12.98
19-Nov-04,13.5
22-Nov-04,12.97
23-Nov-04,12.67
24-Nov-04,12.72
26-Nov-04,12.79
29-Nov-04,13.3
30-Nov-04,13.24
01-Dec-04,12.97
02-Dec-04,12.98
03-Dec-04,12.96
06-Dec-04,13.19
07-Dec-04,13.67
08-Dec-04,13.19
09-Dec-04,12.88
10-Dec-04,12.76
13-Dec-04,12.54
14-Dec-04,12.73
15-Dec-04,12.35
16-Dec-04,12.27
17-Dec-04,11.95
20-Dec-04,11.83
21-Dec-04,11.55
22-Dec-04,11.45
23-Dec-04,11.23
27-Dec-04,12.14
28-Dec-04,12
29-Dec-04,11.62
30-Dec-04,12.56
31-Dec-04,13.29
03-Jan-05,14.08
04-Jan-05,13.98
05-Jan-05,14.09
06-Jan-05,13.58
07-Jan-05,13.49
10-Jan-05,13.23
11-Jan-05,13.19
12-Jan-05,12.56
13-Jan-05,12.84
14-Jan-05,12.43
18-Jan-05,12.47
19-Jan-05,13.18
20-Jan-05,13.83
21-Jan-05,14.36
24-Jan-05,14.65
25-Jan-05,14.06
26-Jan-05,13.44
27-Jan-05,13.24
28-Jan-05,13.24
